sim,mes,estado,ticket,vendas,faturamento
0,1,medio,19610.220554685977,0.817277777803861,16026.997477177354
0,2,alto,36725.894744631594,2.30767824081439,84751.54817662589
0,3,alto,25289.24900946153,2.260134259331391,57157.098079046445
0,4,baixo,10630.355750134324,2.4518333334115834,26063.860574202834
0,5,alto,32152.272040974196,2.019368055620004,64927.27107514749
0,6,baixo,5213.097180349767,1.8998009259865578,9903.846850486401
0,7,baixo,3288.694927364308,4.328569444582591,14235.344375142908
0,8,medio,18980.789953760424,2.260134259331391,42899.133643667024
0,9,medio,19761.000101313362,3.8471458334561146,76023.44920469356
0,10,medio,25283.946267140902,2.260134259331391,57145.11316945919
0,11,baixo,5993.3607786122975,2.572923611193225,15420.459457690993
0,12,alto,17158.310146925083,0.0,0.0
1,1,medio,15563.469716195803,0.817277777803861,12719.677944570194
1,2,baixo,7997.963057741245,2.30767824081439,18456.725319186797
1,3,medio,20394.099439230988,2.260134259331391,46093.40283081706
1,4,medio,15805.808780423391,2.4518333334115834,38753.20882937156
1,5,baixo,8353.36829330932,2.019368055620004,16868.525088337836
1,6,baixo,2286.31738839223,1.8998009259865578,4343.547891566727
1,7,baixo,10086.667153761751,4.328569444582591,43660.83923944797
1,8,alto,34625.81859772446,2.260134259331391,78258.99887011107
1,9,medio,14906.341296041177,3.8471458334561146,57346.86880913963
1,10,medio,13291.217031942333,2.260134259331391,30039.934962101754
1,11,baixo,4291.705112849251,2.572923611193225,11042.229417128523
1,12,baixo,4711.107454167837,0.0,0.0
2,1,medio,19675.199052941454,0.817277777803861,16080.102959836622
2,2,baixo,5741.610205022947,2.30767824081439,13249.788937369303
2,3,alto,50227.18215255518,2.260134259331391,113520.17513266816
2,4,alto,38975.42825597772,2.4518333334115834,95561.25418199787
2,5,baixo,5524.396220129083,2.019368055620004,11155.789253516568
2,6,baixo,3420.0061219546237,1.8998009259865578,6497.330797369091
2,7,alto,36208.904052887825,4.328569444582591,156732.755705153
2,8,baixo,8786.088470446623,2.260134259331391,19857.73955757295
2,9,alto,34790.50027724281,3.8471458334561146,133844.1281854485
2,10,medio,18747.193358942677,2.260134259331391,42371.17397685628
2,11,alto,34137.3766264879,2.572923611193225,87832.86234648645
2,12,baixo,6375.6153262876915,0.0,0.0
3,1,medio,12669.59587597128,0.817277777803861,10354.579163186769
3,2,alto,37345.2899747308,2.30767824081439,86180.91307159004
3,3,medio,26959.774530536295,2.260134259331391,60932.710040314945
