metric,p10,p60,p90
1,2631.262180008017,5531.22878772245,7505.845127832773
2,12745.487160269433,60688.8338403765,93169.7358889322
3,10448.585990301808,46804.21727889291,85996.99217410403
4,11687.42973632632,52451.51319846454,93829.47455941123
5,8857.40913627069,33517.6761865592,67754.66875283999
6,8099.061868062527,31903.457508906362,63361.43403628091
7,18435.801416187976,74009.90252965633,148150.1751246344
8,12313.993200741312,43882.980542075085,78021.11317397388
9,19629.723271374893,72447.54906952196,127811.15301013172
10,11543.455262950589,42574.236429990204,75727.85903600362
11,10078.110076222323,28860.16275928708,92635.22140511555
12,0.0,0.0,0.0
annual,345556.95888461656,480900.94383831945,588743.8368891109
