metric,p10,p60,p90
1,10227.095548529514,15620.007469463679,19192.462804905445
2,10053.836516133684,39670.639449991555,82805.98536861603
3,10799.015850599388,49545.344545259555,88037.92102597107
4,11148.507691275163,51696.994384010206,94876.62419229875
5,8427.178938128343,33442.11891824194,67011.09462145493
6,8000.039157830614,32646.719559749912,64323.10988902054
7,19161.811124635467,73904.54602545468,150960.2832464089
8,12272.327136033598,44142.452283530125,79161.97786637454
9,19467.12796036878,73014.91345912794,129778.9711760115
10,11671.478459440434,43148.523946906804,76622.5298084927
11,9772.281301081257,26500.537888113526,91383.93275231484
12,0.0,0.0,0.0
annual,345475.3228701311,479278.3094786768,588474.8407580542
