data,vendas,ticket
01-01-2023,0,0
01-02-2023,1,17000
01-03-2023,2,6369
01-04-2023,0,0
01-05-2023,3,7511
01-06-2023,2,11108
01-07-2023,6,3541
01-08-2023,2,6694
01-09-2023,3,10567
01-10-2023,2,29875
01-11-2023,3,13667
01-12-2023,0,0
01-01-2024,1,4500
01-02-2024,3,20167
01-03-2024,2,21500
01-04-2024,3,12220
01-05-2024,3,5967
01-06-2024,1,36000
01-07-2024,3,14700
01-08-2024,2,2270
01-09-2024,3,7500
01-10-2024,2,6850
01-11-2024,2,12150
01-12-2024,0,0
01-01-2025,1,18000
01-02-2025,2,10500
01-03-2025,2,41800
01-04-2025,3,9467
01-05-2025,0,0
01-06-2025,2,24675
01-07-2025,3,18867
01-08-2025,2,19575
01-09-2025,4,6150
01-10-2025,2,9675
01-11-2025,2,33000
01-12-2025,0,0
